01.11.21.31.41,Гидроидные
01.11.21.31.42,Сцифоидные
01.11.21.31.43,Коралловые полипы
01.11.21.32.41,Сосальщики
01.11.21.32.42,Ленточные черви
01.11.21.32.43,Ресничные черви
01.11.21.33.41,Собственно круглые черви
01.11.21.34.41,Малощетинковые
01.11.21.34.42,Многощетинковые
01.11.21.34.43,Пиявки
01.11.21.35.41,Брюхоногие
01.11.21.35.42,Двустворчатые
01.11.21.35.43,Головоногие
01.11.21.36.41,Ракообразные
01.11.21.36.42,Паукообразные
01.11.21.36.43,Насекомые
01.11.21.37.41,Асцидии
01.11.21.37.42,Ланцетники
01.11.21.37.43,Хрящевые рыбы
01.11.21.37.44,Костные рыбы
01.11.21.37.45,Земноводные
01.11.21.38.41,Рептилии
01.11.21.310.41,Первозвери
01.11.21.310.42,Настоящие звери
