01.11.21.32.43.53.61.71.81,Планарии
01.11.21.310.41.51.63.71.81,Собаки
01.11.21.310.41.51.63.71.82,Волки
01.11.21.310.41.51.63.71.83,Лисицы
01.11.21.310.41.51.63.72.81,Львы
01.11.21.310.41.51.63.72.82,Тигры
01.11.21.310.41.51.63.72.83,другие кошки
01.11.21.310.41.51.63.73.81,Медведи
01.11.21.310.41.51.63.74.81,Гиены
01.11.21.310.41.51.63.74.82,Земляной волк
01.11.21.310.41.51.63.75.81,Ласки
01.11.21.310.41.51.63.75.82,Барсуки
01.11.21.310.41.51.63.75.83,Выдры
01.11.21.310.41.51.63.76.81,Скунсы
01.11.21.310.41.51.63.77.81,Еноты
01.11.21.310.41.51.63.77.82,Коати
01.11.21.310.41.51.63.77.83,Кинкажу
01.11.21.310.41.51.63.78.81,Безухие тюлени
01.11.21.310.41.51.63.79.81,Сивучи
01.11.21.310.41.51.63.79.82,Морские котики
01.11.21.310.41.51.63.79.83,Морские львы
01.11.21.310.41.51.63.710.81,Мангусты
01.11.21.310.41.51.63.710.82,Сурикаты
01.11.21.310.41.51.63.711.81,Генетты
01.11.21.310.41.51.63.711.82,Циветты
01.11.21.310.41.51.63.712.81,Моржи
01.11.21.310.41.51.63.713.81,Красная панда
01.11.21.310.41.51.63.714.81,Линзанги
01.11.21.310.41.51.63.715.81,Фосса
01.11.21.310.41.51.63.715.81,Мунго
