01.11.21.32.43.53.61.71,Турбеллярии
01.11.21.310.41.51.63.71,Псовые
01.11.21.310.41.51.63.72,Кошачьи
01.11.21.310.41.51.63.73,Медвежьи
01.11.21.310.41.51.63.74,Гиеновые
01.11.21.310.41.51.63.75,Куницевые
01.11.21.310.41.51.63.76,Скунсовые
01.11.21.310.41.51.63.77,Енотовые
01.11.21.310.41.51.63.78,Настоящие тюлени
01.11.21.310.41.51.63.79,Ушастые тюлени
01.11.21.310.41.51.63.710,Мангустовые
01.11.21.310.41.51.63.711,Виверровые
01.11.21.310.41.51.63.712,Моржовые
01.11.21.310.41.51.63.713,Пандовые
01.11.21.310.41.51.63.714,Прионодоновые
01.11.21.310.41.51.63.715,Мадагаскарские виверы
